id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
3498,grand-theft-auto-v,Grand Theft Auto V,2013-09-17,92.0,4.47,7067,74,21937,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Xbox 360, PlayStation 3",Action,2013
5286,tomb-raider,Tomb Raider (2013),2013-03-05,86.0,4.06,3991,10,17549,"PC, Xbox One, PlayStation 4, macOS, Xbox 360, PlayStation 3",Action,2013
4062,bioshock-infinite,BioShock Infinite,2013-03-26,94.0,4.38,4095,12,15882,"PC, Xbox One, PlayStation 4, Nintendo Switch, Linux, Xbox 360, PlayStation 3","Shooter, Action",2013
3939,payday-2,PAYDAY 2,2013-08-13,79.0,3.52,2202,9,14055,"PC, Xbox One, Linux","Shooter, Action",2013
10213,dota-2,Dota 2,2013-07-09,90.0,3.07,2805,14,13065,"PC, macOS, Linux","Massively Multiplayer, Action",2013
766,warframe,Warframe,2013-03-25,73.0,3.42,2085,8,13059,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS","Shooter, Massively Multiplayer, Action, RPG",2013
3790,outlast,Outlast,2013-09-03,80.0,3.74,1808,3,10751,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux","Indie, Action",2013
10533,path-of-exile,Path of Exile,2013-10-23,86.0,3.65,1622,6,10578,"PC, Xbox One, PlayStation 4","Indie, Massively Multiplayer, Action, RPG",2013
10243,company-of-heroes-2,Company of Heroes 2,2013-06-25,80.0,3.09,863,4,9856,"PC, macOS, Linux",Strategy,2013
17540,injustice-gods-among-us-ultimate-edition,Injustice: Gods Among Us Ultimate Edition,2013-11-12,80.0,3.53,1407,5,9832,"PC, PlayStation 4, Xbox 360, PlayStation 3, PS Vita","Arcade, Action, Fighting",2013
3841,assassins-creed-iv-black-flag,Assassin’s Creed IV: Black Flag,2013-10-29,85.0,4.14,2563,25,9538,"PC, PlayStation 4, Xbox One, Nintendo Switch, Xbox 360, PlayStation 3, Wii U",Action,2013
18240,brothers-a-tale-of-two-sons-2,Brothers: A Tale of Two Sons,2013-08-07,90.0,4.18,1618,3,8371,"PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, Xbox 360, PlayStation 3","Indie, Adventure, Action",2013
3931,saints-row-iv,Saints Row IV,2013-08-20,86.0,3.82,1608,13,8161,"PC, Xbox One, PlayStation 4, Linux, Xbox 360, PlayStation 3","Adventure, Action",2013
3678,war-thunder,War Thunder,2013-08-15,81.0,3.19,1026,6,8047,"PC, Xbox One, PlayStation 4, macOS, Linux","Shooter, Massively Multiplayer, Action",2013
2235,batman-arkham-origins,Batman: Arkham Origins,2013-10-25,74.0,3.95,1559,12,7949,"PC, Android, Xbox 360, PlayStation 3",Action,2013
3876,deus-ex-human-revolution-directors-cut,Deus Ex: Human Revolution - Director's Cut,2013-10-22,91.0,4.3,1366,6,7709,"PC, macOS, Xbox 360, PlayStation 3, Wii U","Action, RPG",2013
4003,grid-2,GRID 2,2013-05-27,80.0,3.29,824,3,7703,"PC, macOS, Xbox 360, PlayStation 3","Racing, Arcade",2013
1682,the-wolf-among-us,The Wolf Among Us,2013-10-10,82.0,4.39,2109,9,7667,"PC, PlayStation 4, Xbox One, iOS, Android, macOS, Xbox 360, PS Vita",Adventure,2013
15002,the-stanley-parable,The Stanley Parable,2013-10-17,88.0,4.37,1995,3,7557,"PC, macOS, Linux","Indie, Adventure",2013
13268,amnesia-a-machine-for-pigs,Amnesia: A Machine for Pigs,2013-09-09,72.0,3.22,678,2,7459,"PC, macOS, Linux","Indie, Adventure, Action",2013
11435,viscera-cleanup-detail-shadow-warrior,Viscera Cleanup Detail: Shadow Warrior,2013-09-26,,2.59,577,2,7421,"PC, macOS","Indie, Action, Simulation",2013
3853,trine-2-complete-story,Trine 2: Complete Story,2013-06-05,84.0,3.71,891,4,7412,"PC, PlayStation 4, Nintendo Switch, macOS, Linux","Platformer, Indie, Action, Puzzle",2013
4013,call-of-juarez-gunslinger,Call of Juarez: Gunslinger,2013-05-14,79.0,3.81,830,5,7298,"PC, Xbox One, Nintendo Switch, Xbox 360, PlayStation 3","Shooter, Action",2013
952,shadowrun-returns,Shadowrun Returns,2013-07-24,76.0,3.5,727,4,7249,"PC, iOS, Android, macOS, Linux","Strategy, Indie, RPG",2013
1358,papers-please,"Papers, Please",2013-08-08,85.0,4.38,1716,4,7138,"PC, iOS, Android, macOS, Linux, PS Vita","Educational, Indie, Simulation, Puzzle",2013
3990,the-last-of-us,The Last Of Us,2013-06-14,95.0,4.55,3202,15,6981,"PlayStation 4, PlayStation 3","Adventure, Action",2013
9475,dont-starve,Don't Starve,2013-04-22,79.0,3.85,1114,4,6888,"PC, PlayStation 4, Xbox One, macOS, Linux, PlayStation 3, PS Vita, Wii U",Indie,2013
18241,dmc,DmC: Devil May Cry,2013-01-15,85.0,4.02,1539,6,6745,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3","Adventure, Action",2013
