id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
18080,half-life,Half-Life,1998-11-19,96.0,4.37,2355,3,11354,"PC, macOS, Linux, PlayStation 2, Dreamcast","Shooter, Action",1998
5159,resident-evil-2,Resident Evil 2 (1998),1998-01-21,90.0,4.32,911,13,6371,"PC, PlayStation, GameCube, Nintendo 64, Dreamcast",Action,1998
19299,fallout-2-a-post-nuclear-role-playing-game,Fallout 2,1998-09-30,86.0,4.35,1119,2,5544,"PC, macOS",RPG,1998
5426,crash-bandicoot-warped,Crash Bandicoot 3: Warped,1998-10-31,91.0,4.34,642,5,2519,PlayStation,"Platformer, Action",1998
57607,metal-gear-solid-1,Metal Gear Solid,1998-09-03,94.0,4.39,1117,1,2225,"PC, PlayStation 3, PlayStation, Game Boy Color",Action,1998
15852,star-wars-jedi-knight-mysteries-of-the-sith,STAR WARS Jedi Knight - Mysteries of the Sith,1998-02-17,,3.29,121,1,2207,PC,"Shooter, Action",1998
16263,commandos-behind-enemy-lines,Commandos: Behind Enemy Lines,1998-07-31,,4.22,236,1,2141,PC,Action,1998
20570,x-com-interceptor,X-COM: Interceptor,1998-06-14,,2.2,69,1,1808,PC,"Strategy, Action",1998
25097,the-legend-of-zelda-ocarina-of-time,The Legend of Zelda: Ocarina of Time,1998-11-21,99.0,4.38,843,7,1794,"Nintendo Switch, Nintendo 64","Adventure, Action, RPG",1998
5192,oddworld-abes-exoddus,Oddworld: Abe's Exoddus,1998-11-17,,4.1,145,1,1605,"PC, PlayStation","Platformer, Adventure, Action",1998
28532,banjo-kazooie,Banjo-Kazooie,1998-05-31,92.0,4.24,318,2,1556,"Xbox One, Nintendo Switch, Xbox 360, Nintendo 64","Platformer, Adventure, Action, Puzzle",1998
57797,spyro-the-dragon-2007,Spyro the Dragon,1998-09-09,,4.2,436,12,1512,PlayStation,"Platformer, Adventure, Action",1998
32716,starcraft,StarCraft,1998-03-31,88.0,4.37,671,1,1226,"PC, macOS, Nintendo 64",Action,1998
7091,sanitarium,Sanitarium,1998-04-30,,3.91,80,3,1199,"PC, iOS, Android","Adventure, Action, Puzzle",1998
20059,quake-ii-mission-pack-the-reckoning,QUAKE II Mission Pack: The Reckoning,1998-05-27,,3.33,56,1,1163,PC,"Shooter, Action",1998
10446,turok-2-seeds-of-evil,Turok 2: Seeds of Evil,1998-10-21,,4.07,69,1,1132,"PC, Xbox One, PlayStation 4, Nintendo Switch, Nintendo 64","Shooter, Adventure, Action",1998
57596,medievil,MediEvil I,1998-10-01,67.0,3.99,159,0,1082,PlayStation,"Adventure, Action",1998
6256,metal-slug-2,METAL SLUG 2,1998-02-23,,4.05,127,1,785,"PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, PlayStation, Wii, Neo Geo","Shooter, Action, Fighting, Casual, Arcade",1998
343595,sonic-adventure,Sonic Adventure,1998-12-23,49.0,4.02,195,0,757,"PC, Xbox One, Xbox 360, PlayStation 3, Dreamcast","Adventure, Action, RPG, Family, Platformer",1998
22918,deathtrap-dungeon,Deathtrap Dungeon,1998-03-18,,2.64,25,1,719,"PC, PlayStation","Adventure, Action",1998
32122,tomb-raider-3-adventures-of-lara-croft,Tomb Raider 3: Adventures of Lara Croft,1998-11-21,,3.83,142,1,695,"PC, PlayStation","Shooter, Adventure, Action",1998
30525,star-wars-rebellion,Star Wars: Rebellion,1998-02-27,,2.61,28,1,690,PC,Strategy,1998
18626,caesar-3,Caesar 3,1998-09-30,,4.33,128,1,667,PC,"Strategy, Simulation",1998
20805,vangers,Vangers,1998-06-18,,4.13,78,1,655,"PC, macOS, Linux","Racing, Adventure, Action, Arcade, Indie",1998
15855,star-wars-rogue-squadron-3d,STAR WARS: Rogue Squadron 3D,1998-12-01,,3.72,74,1,647,"PC, Nintendo 64","Action, Simulation",1998
21687,carmageddon-2-carpocalypse-now,Carmageddon 2: Carpocalypse Now,1998-10-12,,4.26,128,3,642,PC,"Racing, Indie, Action",1998
16739,delta-force,Delta Force,1998-09-30,,3.86,75,2,615,PC,"Massively Multiplayer, Adventure, Action",1998
23032,warhammer-40000-chaos-gate,"Warhammer 40,000: Chaos Gate",1998-10-30,,3.75,8,1,508,PC,Strategy,1998
28814,motocross-madness,Motocross Madness,1998-08-14,,2.79,74,25,501,"PC, Xbox 360","Racing, Sports",1998
49302,robo-rumble,Robo Rumble,1998-02-23,,1.81,16,5,492,"PC, macOS","Strategy, Indie",1998
22957,sin-gold,SiN Gold,1998-10-30,,3.79,19,1,474,"PC, macOS",Shooter,1998
1727,clash,Clash,1998-06-29,,1.46,13,3,473,"PC, Xbox One","Strategy, Indie, Action",1998
30504,need-for-speed-3-hot-pursuit,Need for Speed 3: Hot Pursuit,1998-03-25,88.0,4.08,209,2,434,"PC, PlayStation","Racing, Arcade",1998
31495,baldurs-gate,Baldur's Gate,1998-12-21,91.0,4.37,170,76,402,"PC, iOS, macOS","Strategy, RPG",1998
257189,starcraft-brood-war,StarCraft: Brood War,1998-11-30,,4.56,240,0,401,"PC, macOS",,1998
19170,tex-murphy-overseer,Tex Murphy: Overseer,1998-03-12,,3.45,11,1,366,PC,Adventure,1998
4742,parasite-eve,Parasite Eve,1998-03-15,81.0,4.38,119,12,360,PlayStation,RPG,1998
29413,grim-fandango,Grim Fandango,1998-10-14,94.0,4.38,141,1,308,PC,Adventure,1998
32560,quake-2-mission-pack-2-ground-zero,Quake 2 Mission Pack 2: Ground Zero,1998-09-11,,2.89,26,1,300,PC,"Shooter, Action",1998
54646,garou-mark-of-the-wolves,Garou: Mark of the Wolves,1998-12-31,,3.89,35,1,297,"PC, PlayStation 4, Xbox One, Xbox Series S/X, Nintendo Switch, iOS, Android, Linux, PlayStation 2, PS Vita, Classic Macintosh, Dreamcast, Neo Geo","Arcade, Action, Fighting",1998
54751,soulcalibur,Soulcalibur,1998-07-30,98.0,4.37,83,6,291,"Xbox One, iOS, Android, Xbox 360, Dreamcast","Action, Fighting",1998
19072,nam,NAM,1998-07-30,,3.36,11,1,261,"PC, macOS, Linux",Action,1998
58005,xenogears,Xenogears (1998),1998-02-11,84.0,4.37,93,0,253,PlayStation,RPG,1998
5084,populous-the-beginning,Populous: The Beginning,1998-11-30,,4.02,48,1,247,"PC, PlayStation","Strategy, RPG",1998
5350,tom-clancys-rainbow-six,Tom Clancy's Rainbow Six,1998-08-21,85.0,3.88,56,1,244,"PC, PlayStation, Nintendo 64, Classic Macintosh, Dreamcast","Strategy, Shooter, Adventure, Action",1998
30112,sin,SiN,1998-11-04,,3.91,47,1,243,"PC, Linux","Shooter, Action",1998
19008,freddi-fish-3-the-case-of-the-stolen-conch-shell,Freddi Fish 3: The Case of the Stolen Conch Shell,1998-03-30,,4.03,29,1,233,"PC, iOS, Android, macOS, Linux","Casual, Educational, Adventure",1998
23051,the-elder-scrolls-adventures-redguard,The Elder Scrolls Adventures: Redguard,1998-10-31,,3.17,17,1,230,PC,"Adventure, Action, RPG",1998
22289,shogo-mobile-armor-division,Shogo: Mobile Armor Division,1998-09-30,88.0,4.02,46,1,228,"PC, Linux, Classic Macintosh, Commodore / Amiga","Strategy, Shooter, Adventure, Action",1998
2415,the-last-blade-2,The Last Blade 2,1998-11-25,,4.23,13,2,212,"PC, Xbox One, PlayStation 4, Dreamcast, Neo Geo","Action, Fighting",1998
16409,black-moon-chronicles,Black Moon Chronicles,1998-12-31,,0.0,3,1,212,PC,Strategy,1998
13635,pajama-sam-2,Pajama Sam 2: Thunder and Lightning Aren't So Frightening,1998-05-01,,4.11,18,3,205,"PC, iOS, Android, macOS, Linux","Casual, Educational, Adventure",1998
23041,anno-1602-ad,Anno 1602 A.D.,1998-09-24,,4.21,37,1,204,PC,Simulation,1998
17726,airline-tycoon-deluxe,Airline Tycoon Deluxe,1998-07-31,,3.12,8,1,186,"PC, iOS, Android, macOS, Linux","Strategy, Simulation",1998
57816,suikoden-ii-2014,Suikoden II,1998-12-17,82.0,4.35,65,12,185,PlayStation,RPG,1998
10822,battlezone-98-redux,Battlezone 98 Redux,1998-02-28,75.0,3.0,17,3,183,"PC, macOS","Strategy, Action",1998
22657,blood-2-the-blood-group,Blood 2: The Blood Group,1998-10-30,,2.57,23,1,178,PC,Shooter,1998
19021,putt-putt-enters-the-race,Putt-Putt Enters the Race,1998-05-29,,3.93,14,2,177,"PC, iOS, Android, macOS, Linux","Casual, Educational, Adventure",1998
53394,mario-party,Mario Party,1998-12-18,79.0,4.09,79,0,172,"Nintendo 64, Game Boy Advance",Board Games,1998
30426,unreal,Unreal,1998-05-22,,4.11,78,1,171,PC,"Shooter, Action",1998
29035,radiant-silvergun,Radiant Silvergun,1998-07-23,,3.92,12,1,168,"PC, Xbox One, Xbox 360, SEGA Saturn","Shooter, Action",1998
31777,thief-the-dark-project,Thief: The Dark Project,1998-12-02,92.0,4.28,53,0,159,PC,Action,1998
23098,rage-of-mages,Rage of Mages,1998-04-09,,4.28,47,1,151,PC,"Strategy, RPG",1998
15444,return-to-krondor,Return to Krondor,1998-11-29,,2.17,5,1,151,PC,"Adventure, RPG",1998
54873,pokemon-trading-card-game,Pokémon Trading Card Game,1998-12-18,,4.27,56,2,147,"Nintendo 3DS, Game Boy Color","Card, Board Games",1998
52810,colin-mcrae-rally-1998,Colin McRae Rally (1998),1998-07-30,,4.07,60,0,147,"PC, PlayStation, Game Boy",Racing,1998
52896,dune-2000,Dune 2000,1998-08-31,,4.0,59,0,144,"PC, PlayStation",Strategy,1998
31292,heart-of-darkness,Heart of Darkness,1998-01-01,,4.27,56,6,142,"PC, PlayStation, Game Boy Advance",Arcade,1998
