id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
52409,combat-1977,Combat (1977),1977-01-01,,3.5,10,0,44,"Atari 2600, Atari Flashback",,1977
52465,street-racer-1977,Street Racer (1977),1977-09-11,,3.08,10,0,36,Atari 2600,Racing,1977
52392,air-sea-battle,Air-Sea Battle,1977-09-01,,3.25,7,0,31,"Atari 2600, Atari Flashback",,1977
52427,indy-500,Indy 500,1977-01-01,,3.0,8,0,28,Atari 2600,Racing,1977
52470,video-olympics,Video Olympics,1977-09-11,,2.57,6,0,27,Atari 2600,Sports,1977
52396,basic-math,Basic Math,1977-01-01,,1.86,6,0,26,Atari 2600,Educational,1977
52408,circus,Circus,1977-01-01,,2.71,4,0,25,Atari 2600,Arcade,1977
52458,star-ship,Star Ship,1977-09-11,,3.0,5,0,25,Atari 2600,,1977
52399,blackjack,Blackjack,1977-01-01,,2.0,5,0,24,Atari 2600,Sports,1977
52463,surround,Surround,1977-01-01,,3.17,5,0,23,Atari 2600,Action,1977
56425,depthcharge,Depthcharge,1977-09-01,,3.67,5,0,23,Commodore / Amiga,,1977
447779,boot-hill,Boot Hill,1977-01-01,,3.0,5,0,16,Atari 2600,Shooter,1977
33094,empire-deluxe,Empire Deluxe,1977-06-15,,0.0,2,0,15,PC,Strategy,1977
